,weight,sweetness,juiciness,acidity
966,1,5,3,2
1350,1,3,2,3
63,3,2,2,2
2848,1,5,4,2
279,1,3,3,3
1340,2,2,2,2
2752,2,2,2,2
2177,1,2,3,3
1073,3,2,2,3
2973,1,3,2,2
3114,2,2,2,2
1035,2,3,5,4
2577,1,2,4,3
755,2,2,3,2
1447,1,3,3,5
2258,1,2,3,2
300,2,2,2,3
2343,1,2,3,2
1877,1,3,3,3
2910,1,2,2,2
2257,3,2,2,3
2753,1,5,5,2
2133,3,2,2,4
3157,2,5,3,2
3096,2,2,4,2
1974,1,2,3,2
1213,1,4,2,4
1537,1,5,5,2
1847,2,4,2,2
1326,1,5,2,2
3969,2,3,5,4
3807,3,4,2,5
2742,1,3,2,3
3360,1,2,5,2
3130,3,3,2,2
3864,2,2,4,4
2655,3,2,3,2
2637,3,2,5,5
2700,3,2,5,4
682,1,2,3,2
3131,1,4,2,2
3095,1,2,4,3
1555,3,4,3,3
176,3,4,3,2
765,3,2,4,2
1311,2,2,5,3
2526,1,4,3,5
329,2,5,2,2
3506,2,3,2,5
2219,2,5,4,4
2442,1,2,3,4
3341,3,2,2,5
1243,3,3,4,2
1355,3,2,2,3
1938,3,5,3,4
2556,2,4,3,4
373,2,2,2,2
3762,3,5,2,4
81,3,5,3,2
177,2,3,2,3
169,3,4,2,4
1411,1,5,2,5
2158,2,3,2,2
1177,2,4,2,5
3312,1,3,3,3
3041,2,5,4,4
3430,2,2,2,3
435,3,4,4,5
3765,3,2,3,3
3003,2,4,2,3
875,1,5,2,3
824,2,3,3,3
2434,2,3,4,4
420,3,3,2,2
3552,2,4,2,3
2070,1,2,2,2
3738,2,4,5,2
2610,2,2,3,4
3260,1,4,2,4
3750,3,4,3,3
3164,3,4,2,2
1119,1,2,5,5
516,2,2,2,4
2385,3,4,2,3
820,1,2,5,5
1396,3,2,3,2
1260,3,5,2,3
3656,2,5,2,2
790,3,3,4,5
3555,1,3,4,2
849,3,2,3,5
1892,3,5,2,2
3866,1,5,3,3
3735,1,2,4,4
690,1,5,3,4
1664,2,2,2,2
230,2,5,2,2
3296,1,2,3,3
2587,2,2,2,5
3885,1,4,5,4
385,2,5,3,2
1264,1,4,4,3
421,1,4,2,2
3019,1,3,3,2
3594,1,5,2,2
3444,3,4,5,4
2654,1,5,5,3
554,2,2,3,5
2697,1,2,5,4
488,1,3,2,4
967,2,2,3,2
1550,2,2,3,4
3072,3,2,2,5
3440,3,4,2,2
847,3,3,2,2
1813,1,3,2,5
932,3,5,5,4
130,2,2,5,5
1560,2,2,3,4
3223,1,2,2,4
1604,2,2,2,5
3401,1,3,2,4
1575,2,3,2,4
212,3,3,3,4
2338,3,4,2,2
2768,3,2,3,4
2378,2,2,2,3
2836,1,4,4,4
1563,1,3,4,2
486,2,2,4,2
2360,1,2,3,3
2460,3,4,3,5
1357,2,2,3,2
1349,1,3,3,3
1699,1,2,4,3
1208,2,2,2,2
3968,1,5,2,2
306,1,2,5,5
1665,1,2,3,3
1477,3,3,4,3
3323,1,3,2,3
1146,2,3,2,5
581,2,5,5,2
3121,2,4,2,3
1528,1,2,4,2
1737,1,4,4,4
1133,2,3,2,3
3286,2,2,3,3
2169,1,2,2,2
3706,3,2,3,5
324,1,5,2,3
3957,1,2,4,5
3300,3,2,4,4
720,1,5,5,4
1259,1,3,3,5
2928,2,3,2,2
2986,1,3,3,2
3955,1,4,2,5
3680,1,2,4,4
596,2,4,5,5
490,2,4,4,4
2786,2,4,4,3
796,1,2,2,2
753,3,4,3,2
2714,2,2,2,2
2017,2,5,5,3
2121,3,5,5,2
3934,3,2,2,4
370,2,3,4,4
798,2,2,2,4
748,2,2,3,5
2590,1,4,2,2
1354,3,5,2,2
2713,2,3,4,2
2939,1,2,3,2
2406,2,3,2,3
3941,2,2,3,3
2658,3,2,2,2
75,2,5,4,3
952,1,2,2,4
1621,2,4,2,2
2317,3,3,2,4
884,1,3,2,2
1424,2,2,3,3
590,2,4,2,2
398,2,2,5,2
135,1,2,4,4
182,1,2,2,3
1434,2,5,2,4
738,1,2,5,5
1298,1,3,4,5
2330,1,5,2,2
812,2,3,4,2
2517,1,3,3,4
3298,2,2,4,3
1534,3,5,5,2
995,1,3,2,4
1288,3,5,2,4
734,2,4,3,2
2366,1,2,2,2
3637,1,2,3,3
1369,3,5,3,2
1015,2,5,2,2
3794,2,3,2,4
2879,2,4,4,4
937,2,2,3,3
780,3,4,2,2
2478,2,4,4,2
622,3,4,5,3
512,3,2,5,2
1650,2,2,5,3
3990,1,3,3,2
245,3,4,3,3
3877,3,5,4,2
1278,1,3,2,3
1247,1,2,3,2
3550,1,2,3,2
2503,1,2,2,5
215,1,4,2,3
856,1,5,4,4
2131,1,2,2,4
1939,1,2,3,2
3064,3,4,4,5
157,2,2,4,2
159,1,2,4,5
945,2,5,3,3
2591,1,4,2,4
2846,2,5,4,2
2598,2,5,4,3
3397,3,4,2,4
3616,1,2,2,3
1987,1,5,5,2
2063,1,2,2,3
3407,3,2,3,3
1121,3,3,2,3
1037,2,3,3,4
1602,2,5,2,4
3282,2,2,3,2
1295,2,5,2,4
3165,2,4,3,2
3476,1,4,5,4
2754,3,4,4,3
757,2,2,3,4
2748,1,2,2,3
696,2,4,2,5
3600,2,5,5,2
3859,3,2,3,4
890,1,3,5,2
102,3,2,2,5
243,1,3,2,2
3317,2,2,3,3
2371,1,3,2,2
2171,2,3,2,4
1951,3,3,2,4
1186,1,2,4,4
1102,1,3,2,2
2992,1,3,4,2
2532,3,3,5,5
3822,1,2,3,2
3875,3,4,2,4
2509,1,4,2,2
1262,1,2,5,4
3915,1,3,5,2
2179,1,4,2,2
1341,3,2,5,5
1013,1,2,5,5
1225,1,3,2,3
3099,1,2,3,3
2361,3,4,2,3
2321,1,5,2,3
999,1,2,3,3
162,2,2,3,4
3687,1,4,4,2
759,1,3,4,4
2841,1,2,3,2
813,3,5,3,2
2840,3,3,5,2
846,1,3,2,3
2078,1,2,3,5
2125,2,2,2,3
3948,1,2,2,2
1501,1,3,3,3
3643,1,2,4,4
1639,1,2,2,4
3063,2,2,3,3
3933,3,4,3,3
3900,3,3,3,4
3870,2,3,5,3
3006,1,4,2,2
898,3,2,5,2
32,3,2,5,3
506,2,2,3,2
254,2,3,4,2
3914,3,4,4,3
197,1,3,3,2
3209,1,4,5,5
1591,2,3,4,4
1379,1,2,2,4
496,2,5,4,3
1344,2,2,4,5
2827,1,3,3,2
539,3,3,2,2
1589,3,5,3,2
3515,3,5,4,2
3158,2,2,2,4
2600,3,3,3,4
3150,3,5,2,2
1668,2,4,2,3
65,2,4,3,4
2769,2,2,4,2
1649,1,3,2,4
1466,1,2,3,5
3582,2,3,4,3
1628,1,2,2,2
2438,3,3,3,5
2031,1,3,3,5
3615,2,4,2,5
2430,2,3,3,5
1566,2,3,5,5
2971,3,5,2,2
3273,1,4,3,4
1489,3,4,2,3
1149,2,2,4,4
3568,3,5,4,2
2379,3,3,4,5
2661,2,2,5,5
3633,1,3,3,4
231,3,5,5,2
2271,2,4,3,2
1327,3,2,3,2
2435,3,3,3,2
623,1,3,2,2
2678,1,3,5,5
198,2,2,4,5
2243,1,2,2,2
789,2,4,3,4
2945,2,2,2,5
3219,3,5,3,5
1686,1,3,2,2
1937,2,2,2,2
431,1,2,3,3
1548,3,4,4,2
2805,1,2,2,5
3289,3,2,2,5
923,2,4,4,5
54,3,5,5,2
3210,1,3,3,5
3549,2,3,2,3
910,3,2,3,4
3294,1,3,2,2
3271,1,3,3,2
1819,1,2,3,2
513,1,2,2,3
30,3,5,4,5
1983,3,2,4,5
717,1,2,2,5
504,3,3,2,2
442,1,2,5,5
2292,1,3,2,2
839,1,2,2,5
2062,3,3,2,3
1522,2,4,5,3
372,3,2,2,4
487,1,5,4,3
1882,1,4,5,4
515,3,3,4,3
1332,1,5,2,2
1666,1,2,3,5
1712,3,5,2,4
1971,1,3,2,2
1777,1,3,2,2
2907,1,4,4,2
2325,2,2,4,2
2446,3,5,2,5
2826,2,2,2,2
257,3,5,2,3
2909,1,3,3,2
307,3,3,3,4
3376,3,2,2,4
3827,3,3,5,3
3826,1,5,2,2
1858,3,2,3,4
2228,1,3,2,3
1760,2,4,4,5
2845,1,4,5,4
2286,1,2,3,4
1950,1,5,2,2
3052,3,2,2,4
3784,2,4,4,3
3861,1,2,4,2
1155,2,3,2,2
3978,2,3,2,4
3754,3,4,2,3
1275,1,3,2,3
3920,2,4,5,5
1365,2,5,2,3
2388,3,2,5,5
2377,3,4,2,4
2420,1,4,3,2
3590,2,2,4,5
2021,2,2,2,2
2091,3,3,3,5
3204,1,3,2,4
1432,1,3,2,3
1695,3,2,4,2
1353,1,2,3,4
168,1,3,2,3
3441,3,2,5,2
3425,1,3,2,3
2557,1,3,2,3
3907,1,3,2,4
3805,2,4,3,2
3813,2,4,2,2
1316,3,5,2,5
2905,1,2,2,3
3564,1,2,3,3
2022,3,3,3,2
3091,1,2,2,2
859,2,3,2,3
1057,3,2,3,3
2793,3,4,4,2
662,1,2,3,4
887,3,2,4,5
2342,2,3,3,2
2617,3,3,2,2
1381,3,5,2,3
677,1,2,2,2
497,1,3,4,5
250,2,2,3,5
3117,3,3,2,5
2023,3,3,2,4
703,1,2,4,4
346,3,5,2,2
1541,3,3,4,4
74,2,3,3,3
3966,2,3,2,3
3963,1,2,3,2
22,1,2,4,5
830,2,3,4,3
1427,1,4,3,5
3482,2,3,3,2
895,3,3,4,2
583,2,3,2,2
73,2,2,5,2
3695,1,2,4,4
3560,3,5,2,4
1082,1,4,2,2
3414,2,4,2,4
3382,2,2,3,4
3917,3,2,2,5
3015,1,3,4,2
867,3,2,5,2
3047,1,2,4,4
3835,3,2,4,3
3828,2,2,4,4
2166,1,2,3,2
2068,1,2,2,2
3137,1,5,2,2
341,1,5,5,4
3707,3,3,5,5
1985,3,4,2,3
259,1,2,3,2
1480,1,2,4,3
1798,1,3,4,4
670,1,2,5,5
2962,1,2,3,2
153,1,3,5,5
2510,1,2,3,3
2901,2,3,3,2
700,3,3,2,4
2445,1,3,3,2
3023,1,2,2,3
3816,1,5,5,2
3215,3,3,5,3
1475,1,2,3,4
2916,3,2,3,4
2706,2,3,4,2
1386,3,5,4,4
3639,2,3,2,2
1552,2,2,2,2
1769,1,2,2,2
2773,1,2,2,2
1068,1,2,2,2
3188,2,2,4,2
3404,3,4,2,2
715,2,2,3,4
271,1,3,2,4
1499,1,2,3,2
783,2,5,3,2
807,1,2,4,5
313,2,2,5,2
1776,3,3,4,5
3459,3,3,4,3
2106,3,2,3,2
733,2,5,4,4
3531,1,2,4,4
3610,1,5,3,3
1005,2,2,2,5
1809,2,4,3,2
916,2,2,5,2
605,3,4,3,3
414,1,4,3,2
1633,1,3,3,3
1289,1,3,2,2
3422,2,5,3,2
2944,2,2,2,2
3484,1,4,3,2
1052,2,2,4,5
2940,3,2,3,4
1445,3,3,4,2
1559,1,2,5,4
2300,2,2,2,4
3838,2,5,5,4
3891,1,2,3,5
3077,3,2,3,5
532,3,4,5,3
3559,2,3,2,5
538,2,4,2,5
2787,3,2,3,4
2288,2,5,5,2
842,3,3,3,4
2019,2,4,3,2
3858,3,5,2,2
1908,2,2,3,2
631,1,4,3,2
2024,2,4,4,3
845,1,4,3,2
3141,1,3,2,3
1048,2,2,3,2
2097,1,2,3,5
1529,2,3,4,2
94,3,5,3,3
3532,1,2,4,3
2926,2,3,4,2
597,1,2,3,2
161,1,2,5,5
652,2,2,4,4
1487,2,2,2,2
2565,1,5,2,2
852,3,2,2,3
541,3,2,5,4
480,2,2,3,3
1390,1,3,3,2
809,1,2,3,3
556,3,2,5,4
3229,2,5,2,3
2621,1,3,2,5
3388,2,5,3,3
3848,2,2,4,2
440,1,2,3,2
2514,1,2,2,4
2974,1,2,4,4
1248,3,5,2,3
2012,3,3,3,4
3122,1,2,2,2
1179,2,4,3,3
3046,1,4,2,5
7,1,3,2,3
2864,2,2,5,4
2028,3,2,5,5
2348,2,2,2,2
687,2,4,3,4
1945,3,3,4,5
1617,1,2,2,2
3743,1,2,5,4
3523,2,3,2,4
2638,3,5,3,3
452,1,2,3,3
950,2,4,2,3
3606,1,3,2,3
2516,2,2,2,5
1681,3,3,2,2
1898,1,2,5,3
3259,2,2,2,3
503,1,3,2,2
2523,2,3,3,4
2955,3,2,2,2
3349,3,3,4,5
1153,2,3,3,4
566,1,4,2,2
810,3,3,5,4
2583,2,2,3,2
501,1,4,3,4
3083,2,4,4,4
2011,3,4,3,3
2717,2,4,3,2
2461,2,2,2,3
1000,2,2,4,2
2156,3,5,2,4
2965,1,4,3,4
1164,3,2,2,5
244,1,5,5,5
3563,3,4,2,5
1330,1,4,3,2
1132,3,2,4,4
1645,1,3,2,5
3111,1,2,4,4
3730,2,3,5,5
1391,1,5,4,2
3786,2,2,3,5
3483,2,4,3,2
3079,1,2,2,4
3062,1,2,4,2
50,1,2,2,4
1356,1,4,2,3
2289,2,5,5,2
2539,1,3,2,3
1715,2,4,3,4
2424,2,5,2,2
3190,1,3,2,4
2987,1,3,4,3
2666,1,4,2,3
2530,3,3,5,5
389,2,3,2,5
1815,1,2,4,3
1957,3,5,3,3
3939,2,4,2,4
2967,2,5,2,2
1462,1,3,2,4
858,2,4,4,5
1367,1,3,2,2
2673,2,2,5,2
3055,3,3,3,4
2050,1,2,3,3
3717,3,4,3,2
338,3,2,4,4
844,1,2,4,3
3000,1,2,3,2
3143,2,5,2,4
3741,2,5,3,4
2934,2,2,2,2
2670,1,4,2,3
1530,3,2,3,3
882,2,4,4,4
3280,1,4,4,2
224,1,2,2,4
1968,1,3,2,3
297,2,3,2,3
358,1,2,3,2
3016,3,3,5,2
3004,1,3,3,2
101,3,4,3,2
10,2,3,4,4
2052,1,4,3,2
727,3,5,3,2
1586,2,5,3,2
384,2,3,3,4
149,2,3,4,3
716,3,2,3,4
3731,1,5,4,2
334,2,4,3,2
1182,3,2,2,3
3950,3,5,3,2
3225,1,3,3,3
1720,3,2,2,2
2254,3,2,5,5
2487,2,2,3,3
1554,2,2,5,3
2737,2,2,2,2
2249,2,5,3,3
148,2,3,2,5
909,1,2,3,2
978,3,2,4,4
3755,1,2,2,4
166,3,2,3,4
2496,1,4,2,2
3732,1,2,4,3
3236,2,2,3,3
267,3,5,3,2
3173,1,2,2,3
3761,3,2,4,3
3888,1,2,4,4
2476,1,3,4,2
408,3,2,3,2
2749,3,3,2,2
537,1,5,3,2
1846,1,3,4,4
1377,1,2,2,3
3668,3,3,3,3
2238,2,3,3,3
3977,1,3,3,2
1854,1,4,4,4
3378,1,3,3,4
3279,3,3,2,5
2040,3,3,4,2
2320,3,2,4,3
2640,2,4,2,2
2828,1,2,3,3
1450,2,3,4,2
3424,1,2,2,5
1949,1,2,2,3
2380,3,3,3,2
1516,3,2,4,4
1572,1,2,2,2
1805,2,2,5,2
2034,1,2,3,4
434,1,3,2,2
1274,1,3,5,2
3450,2,2,4,3
2803,1,2,4,4
2148,2,2,3,4
263,1,3,2,2
2952,2,2,2,2
1623,3,2,5,2
1142,3,2,5,5
1615,1,2,3,2
3138,1,2,4,4
693,1,2,2,4
3217,3,3,3,3
793,1,3,2,2
3262,2,2,4,4
3107,3,2,2,3
587,2,2,4,4
982,1,3,4,2
1117,3,2,2,5
2976,1,3,2,5
1763,3,2,5,5
2358,1,2,5,4
2979,3,2,2,5
2137,3,3,2,4
943,3,2,2,2
3068,1,3,5,5
2663,1,2,2,2
1483,3,3,3,4
3624,1,3,4,4
3246,3,2,3,5
2923,2,3,3,3
1134,2,2,4,3
1091,2,5,5,3
3842,2,3,3,3
1267,2,2,2,4
3420,2,2,2,2
530,2,5,3,2
2903,2,4,3,2
3325,1,3,3,2
3981,2,2,3,3
1382,2,2,2,4
2003,3,2,3,4
1254,2,4,4,2
147,3,4,5,4
465,3,2,2,2
305,1,3,5,5
749,1,3,3,3
629,1,2,2,2
2484,1,2,3,2
2823,1,2,2,2
3226,1,2,3,4
1570,1,2,4,2
2016,1,4,3,3
3220,1,3,2,5
1598,3,2,2,3
1531,2,2,3,2
37,2,5,2,4
760,1,2,2,2
1188,3,5,2,2
2376,1,4,2,5
522,1,4,3,4
2954,2,4,3,2
601,1,5,2,2
1730,3,2,3,3
3108,2,4,2,2
3144,3,2,2,4
2791,3,4,2,3
2389,3,2,3,5
726,1,2,2,2
3711,2,2,4,3
2141,2,3,3,2
818,1,2,3,5
2797,1,3,4,5
3142,1,5,4,2
1484,1,4,5,3
1308,3,2,5,3
229,1,2,4,2
1150,2,4,3,3
543,1,5,2,5
3874,1,2,5,4
3625,2,5,3,3
2569,2,3,4,2
3869,2,4,5,3
1735,3,2,4,4
3245,1,3,2,2
1083,3,2,2,2
312,3,5,3,4
531,1,4,3,3
2825,3,4,5,3
3694,1,3,3,3
1219,2,3,2,2
917,2,2,2,2
2351,1,2,2,4
3237,3,4,4,2
58,1,2,5,3
2605,2,3,3,5
494,1,4,3,2
1818,1,2,5,3
2074,1,2,5,2
2690,2,3,2,2
3230,1,2,3,5
3139,3,5,5,2
3672,2,5,2,2
3045,1,3,2,2
3389,1,2,3,2
333,2,2,4,3
1226,1,3,3,3
3736,1,2,3,2
2126,1,4,3,5
739,1,3,3,2
1408,2,4,4,2
2616,1,3,3,4
82,1,5,4,3
